task_code,patternid_1,pattern_1,translation_1,patternid_2,pattern_2,translation_2,patternid_3,pattern_3,translation_3,patternid_4,pattern_4,translation_4,patternid_5,pattern_5,translation_5,patternid_6,pattern_6,translation_6,patternid_7,pattern_7,translation_7,patternid_8,pattern_8,translation_8,patternid_9,pattern_9,translation_9,patternid_10,pattern_10,translation_10
sentiment,1,{LEMMA:return},"A form of ""return""",60,{LEMMA:way} {LEMMA:too},"A form of ""way"", closely followed by a form of ""too""",18,{LEMMA:love},"A form of ""love""",50,{LEMMA:not} {LEMMA:the},"A form of ""not"", closely followed by a form of ""the""",26,"{SENTIMENT:pos, POS:ADV}",An adverb which is also bearing a positive sentiment,52,{LEMMA:not} {LEMMA:recommend},"A form of ""not"", closely followed by a form of ""recommend""",12,{POS:ADV} {SENTIMENT:neg},"An adverb, closely followed by a negative-sentiment word",93,{LEMMA:the} {SENTIMENT:neg},"A form of ""the"", closely followed by a negative-sentiment word",62,{SENTIMENT:pos} {LEMMA:for},"A positive-sentiment word, closely followed by a form of ""for""",36,{SENTIMENT:pos} {SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a form of ""and"""
sentiment,86,{LEMMA:not} {SENTIMENT:pos} {LEMMA:the},"A form of ""not"", closely followed by a positive-sentiment word, and then by a form of ""the""",58,{LEMMA:and} {LEMMA:great},"A form of ""and"", closely followed by a form of ""great""",23,{LEMMA:be} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word",45,{LEMMA:great} {SENTIMENT:pos},"A form of ""great"", closely followed by a positive-sentiment word",10,{LEMMA:not} {SENTIMENT:pos},"A form of ""not"", closely followed by a positive-sentiment word",75,{LEMMA:be} {POS:ADV},"A form of ""be"", closely followed by an adverb",99,{LEMMA:the} {LEMMA:be} {POS:ADV},"A form of ""the"", closely followed by a form of ""be"", and then by an adverb",81,{LEMMA:uncomfortable},"A form of ""uncomfortable""",87,{SENTIMENT:pos} {LEMMA:great},"A positive-sentiment word, closely followed by a form of ""great""",28,{TYPE:be.v} {SENTIMENT:neg},"A type of be (v), closely followed by a negative-sentiment word"
sentiment,39,{LEMMA:do} {TYPE:not.r},"A form of ""do"", closely followed by a type of not (adv)",34,"{TYPE:move.v, LEMMA:return}","A form of ""return"" which is also a type of move (v)",2,{LEMMA:not},"A form of ""not""",9,{TYPE:not.r},A type of not (adv),92,{LEMMA:be} {POS:ADV} {SENTIMENT:pos},"A form of ""be"", closely followed by an adverb, and then by a positive-sentiment word",71,{LEMMA:year},"A form of ""year""",46,{TYPE:be.v} {POS:ADV} {SENTIMENT:neg},"A type of be (v), closely followed by an adverb, and then by a negative-sentiment word",59,{LEMMA:not} {LEMMA:fit},"A form of ""not"", closely followed by a form of ""fit""",37,{SENTIMENT:neg} {LEMMA:and},"A negative-sentiment word, closely followed by a form of ""and""",14,{LEMMA:comfortable},"A form of ""comfortable"""
sentiment,84,{LEMMA:not} {LEMMA:even},"A form of ""not"", closely followed by a form of ""even""",79,{TYPE:love.v},A type of love (v),57,{LEMMA:send} {TYPE:back.r},"A form of ""send"", closely followed by a type of back (adv)",24,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and""",25,{LEMMA:disappointed},"A form of ""disappointed""",11,{SENTIMENT:pos},A positive-sentiment word,32,{LEMMA:good},"A form of ""good""",82,"{POS:ADV} {LEMMA:cheap, SENTIMENT:neg}","An adverb, closely followed by a form of ""cheap"" which is also bearing a negative sentiment",90,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and"", and then by a positive-sentiment word",4,{SENTIMENT:neg},A negative-sentiment word
sentiment,22,"{LEMMA:perfect, SENTIMENT:pos}","A form of ""perfect"" which is also bearing a positive sentiment",77,{SENTIMENT:pos} {SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a positive-sentiment word",56,{LEMMA:would} {LEMMA:not},"A form of ""would"", closely followed by a form of ""not""",55,{LEMMA:great} {LEMMA:!},"A form of ""great"", closely followed by a form of ""!""",15,{SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a form of ""and"", and then by a positive-sentiment word",74,{LEMMA:love} {LEMMA:!},"A form of ""love"", closely followed by a form of ""!""",94,{TYPE:not.r} {LEMMA:at},"A type of not (adv), closely followed by a form of ""at""",96,{LEMMA:be} {SENTIMENT:pos} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a positive-sentiment word",73,{POS:ADV} {LEMMA:the},"An adverb, closely followed by a form of ""the""",53,{POS:ADV} {SENTIMENT:pos} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word, and then by a positive-sentiment word"
sentiment,43,{LEMMA:be} {LEMMA:small},"A form of ""be"", closely followed by a form of ""small""",98,{TYPE:spouse.n},A type of spouse (n),66,{LEMMA:be} {LEMMA:return},"A form of ""be"", closely followed by a form of ""return""",64,{LEMMA:too} {LEMMA:small},"A form of ""too"", closely followed by a form of ""small""",17,{SENTIMENT:pos} {LEMMA:!},"A positive-sentiment word, closely followed by a form of ""!""",3,{SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a form of ""and""",51,{SENTIMENT:neg} {LEMMA:money},"A negative-sentiment word, closely followed by a form of ""money""",69,{LEMMA:be} {POS:ADV} {LEMMA:comfortable},"A form of ""be"", closely followed by an adverb, and then by a form of ""comfortable""",38,{SENTIMENT:neg} {SENTIMENT:neg},"A negative-sentiment word, closely followed by a negative-sentiment word",61,{SENTIMENT:neg} {LEMMA:not},"A negative-sentiment word, closely followed by a form of ""not"""
sentiment,16,{LEMMA:be} {POS:ADV} {SENTIMENT:neg},"A form of ""be"", closely followed by an adverb, and then by a negative-sentiment word",27,{LEMMA:be} {LEMMA:too},"A form of ""be"", closely followed by a form of ""too""",97,{SENTIMENT:pos} {LEMMA:but},"A positive-sentiment word, closely followed by a form of ""but""",72,"{LEMMA:be} {LEMMA:cheap, SENTIMENT:neg}","A form of ""be"", closely followed by a form of ""cheap"" which is also bearing a negative sentiment",100,{TYPE:station.v},A type of station (v),8,{LEMMA:be} {SENTIMENT:neg},"A form of ""be"", closely followed by a negative-sentiment word",21,"{LEMMA:well, POS:ADV}","A form of ""well"" which is also an adverb",63,{TYPE:move.v} {LEMMA:back},"A type of move (v), closely followed by a form of ""back""",89,{LEMMA:but},"A form of ""but""",42,{LEMMA:be} {LEMMA:not},"A form of ""be"", closely followed by a form of ""not"""
sentiment,54,{POS:ADV} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word",31,{LEMMA:at} {TYPE:wholly.r},"A form of ""at"", closely followed by a type of wholly (adv)",20,"{LEMMA:cheap, SENTIMENT:neg}","A form of ""cheap"" which is also bearing a negative sentiment",35,{LEMMA:do} {LEMMA:not},"A form of ""do"", closely followed by a form of ""not""",65,{LEMMA:way},"A form of ""way""",88,{TYPE:move.v},A type of move (v),67,{LEMMA:be} {LEMMA:way},"A form of ""be"", closely followed by a form of ""way""",29,"{SENTIMENT:neg, POS:ADV}",An adverb which is also bearing a negative sentiment,85,"{SENTIMENT:pos, POS:ADV} {LEMMA:and}","An adverb which is also bearing a positive sentiment, closely followed by a form of ""and""",13,{LEMMA:send},"A form of ""send"""
sentiment,76,{LEMMA:fit} {SENTIMENT:pos},"A form of ""fit"", closely followed by a positive-sentiment word",68,{SENTIMENT:pos} {TYPE:measure.n},"A positive-sentiment word, closely followed by a type of measure (n)",83,{POS:ADV} {LEMMA:return},"An adverb, closely followed by a form of ""return""",91,{POS:ADV} {POS:ADV},"An adverb, closely followed by an adverb",95,{SENTIMENT:neg} {LEMMA:the},"A negative-sentiment word, closely followed by a form of ""the""",7,{SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word",41,{LEMMA:durable},"A form of ""durable""",19,{TYPE:return.v},A type of return (v),40,{POS:ADV} {LEMMA:small},"An adverb, closely followed by a form of ""small""",49,{LEMMA:be} {SENTIMENT:neg} {LEMMA:and},"A form of ""be"", closely followed by a negative-sentiment word, and then by a form of ""and"""
sentiment,5,{LEMMA:great},"A form of ""great""",30,{SENTIMENT:neg} {POS:ADV},"A negative-sentiment word, closely followed by an adverb",33,{LEMMA:the} {LEMMA:be} {SENTIMENT:neg},"A form of ""the"", closely followed by a form of ""be"", and then by a negative-sentiment word",48,{LEMMA:not} {POS:ADV},"A form of ""not"", closely followed by an adverb",78,{SENTIMENT:neg} {LEMMA:and} {POS:ADV},"A negative-sentiment word, closely followed by a form of ""and"", and then by an adverb",44,{LEMMA:small},"A form of ""small""",80,{SENTIMENT:pos} {LEMMA:and} {POS:ADV},"A positive-sentiment word, closely followed by a form of ""and"", and then by an adverb",47,{LEMMA:be} {LEMMA:great},"A form of ""be"", closely followed by a form of ""great""",70,{LEMMA:comfortable} {LEMMA:and},"A form of ""comfortable"", closely followed by a form of ""and""",6,{LEMMA:and} {SENTIMENT:pos},"A form of ""and"", closely followed by a positive-sentiment word"
sentiment,66,{LEMMA:be} {LEMMA:return},"A form of ""be"", closely followed by a form of ""return""",89,{LEMMA:but},"A form of ""but""",96,{LEMMA:be} {SENTIMENT:pos} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a positive-sentiment word",38,{SENTIMENT:neg} {SENTIMENT:neg},"A negative-sentiment word, closely followed by a negative-sentiment word",28,{TYPE:be.v} {SENTIMENT:neg},"A type of be (v), closely followed by a negative-sentiment word",5,{LEMMA:great},"A form of ""great""",79,{TYPE:love.v},A type of love (v),50,{LEMMA:not} {LEMMA:the},"A form of ""not"", closely followed by a form of ""the""",53,{POS:ADV} {SENTIMENT:pos} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word, and then by a positive-sentiment word",82,"{POS:ADV} {LEMMA:cheap, SENTIMENT:neg}","An adverb, closely followed by a form of ""cheap"" which is also bearing a negative sentiment"
sentiment,41,{LEMMA:durable},"A form of ""durable""",52,{LEMMA:not} {LEMMA:recommend},"A form of ""not"", closely followed by a form of ""recommend""",11,{SENTIMENT:pos},A positive-sentiment word,15,{SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a form of ""and"", and then by a positive-sentiment word",74,{LEMMA:love} {LEMMA:!},"A form of ""love"", closely followed by a form of ""!""",3,{SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a form of ""and""",63,{TYPE:move.v} {LEMMA:back},"A type of move (v), closely followed by a form of ""back""",39,{LEMMA:do} {TYPE:not.r},"A form of ""do"", closely followed by a type of not (adv)",78,{SENTIMENT:neg} {LEMMA:and} {POS:ADV},"A negative-sentiment word, closely followed by a form of ""and"", and then by an adverb",49,{LEMMA:be} {SENTIMENT:neg} {LEMMA:and},"A form of ""be"", closely followed by a negative-sentiment word, and then by a form of ""and"""
sentiment,70,{LEMMA:comfortable} {LEMMA:and},"A form of ""comfortable"", closely followed by a form of ""and""",6,{LEMMA:and} {SENTIMENT:pos},"A form of ""and"", closely followed by a positive-sentiment word",77,{SENTIMENT:pos} {SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a positive-sentiment word",29,"{SENTIMENT:neg, POS:ADV}",An adverb which is also bearing a negative sentiment,61,{SENTIMENT:neg} {LEMMA:not},"A negative-sentiment word, closely followed by a form of ""not""",98,{TYPE:spouse.n},A type of spouse (n),64,{LEMMA:too} {LEMMA:small},"A form of ""too"", closely followed by a form of ""small""",31,{LEMMA:at} {TYPE:wholly.r},"A form of ""at"", closely followed by a type of wholly (adv)",76,{LEMMA:fit} {SENTIMENT:pos},"A form of ""fit"", closely followed by a positive-sentiment word",51,{SENTIMENT:neg} {LEMMA:money},"A negative-sentiment word, closely followed by a form of ""money"""
sentiment,19,{TYPE:return.v},A type of return (v),62,{SENTIMENT:pos} {LEMMA:for},"A positive-sentiment word, closely followed by a form of ""for""",36,{SENTIMENT:pos} {SENTIMENT:pos} {LEMMA:and},"A positive-sentiment word, closely followed by a positive-sentiment word, and then by a form of ""and""",43,{LEMMA:be} {LEMMA:small},"A form of ""be"", closely followed by a form of ""small""",71,{LEMMA:year},"A form of ""year""",2,{LEMMA:not},"A form of ""not""",24,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and""",27,{LEMMA:be} {LEMMA:too},"A form of ""be"", closely followed by a form of ""too""",55,{LEMMA:great} {LEMMA:!},"A form of ""great"", closely followed by a form of ""!""",45,{LEMMA:great} {SENTIMENT:pos},"A form of ""great"", closely followed by a positive-sentiment word"
sentiment,13,{LEMMA:send},"A form of ""send""",59,{LEMMA:not} {LEMMA:fit},"A form of ""not"", closely followed by a form of ""fit""",8,{LEMMA:be} {SENTIMENT:neg},"A form of ""be"", closely followed by a negative-sentiment word",20,"{LEMMA:cheap, SENTIMENT:neg}","A form of ""cheap"" which is also bearing a negative sentiment",17,{SENTIMENT:pos} {LEMMA:!},"A positive-sentiment word, closely followed by a form of ""!""",48,{LEMMA:not} {POS:ADV},"A form of ""not"", closely followed by an adverb",54,{POS:ADV} {SENTIMENT:pos},"An adverb, closely followed by a positive-sentiment word",12,{POS:ADV} {SENTIMENT:neg},"An adverb, closely followed by a negative-sentiment word",67,{LEMMA:be} {LEMMA:way},"A form of ""be"", closely followed by a form of ""way""",37,{SENTIMENT:neg} {LEMMA:and},"A negative-sentiment word, closely followed by a form of ""and"""
sentiment,88,{TYPE:move.v},A type of move (v),91,{POS:ADV} {POS:ADV},"An adverb, closely followed by an adverb",81,{LEMMA:uncomfortable},"A form of ""uncomfortable""",9,{TYPE:not.r},A type of not (adv),35,{LEMMA:do} {LEMMA:not},"A form of ""do"", closely followed by a form of ""not""",40,{POS:ADV} {LEMMA:small},"An adverb, closely followed by a form of ""small""",14,{LEMMA:comfortable},"A form of ""comfortable""",90,{LEMMA:be} {SENTIMENT:pos} {LEMMA:and} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word, and then by a form of ""and"", and then by a positive-sentiment word",84,{LEMMA:not} {LEMMA:even},"A form of ""not"", closely followed by a form of ""even""",42,{LEMMA:be} {LEMMA:not},"A form of ""be"", closely followed by a form of ""not"""
sentiment,68,{SENTIMENT:pos} {TYPE:measure.n},"A positive-sentiment word, closely followed by a type of measure (n)",21,"{LEMMA:well, POS:ADV}","A form of ""well"" which is also an adverb",58,{LEMMA:and} {LEMMA:great},"A form of ""and"", closely followed by a form of ""great""",85,"{SENTIMENT:pos, POS:ADV} {LEMMA:and}","An adverb which is also bearing a positive sentiment, closely followed by a form of ""and""",65,{LEMMA:way},"A form of ""way""",97,{SENTIMENT:pos} {LEMMA:but},"A positive-sentiment word, closely followed by a form of ""but""",44,{LEMMA:small},"A form of ""small""",23,{LEMMA:be} {SENTIMENT:pos},"A form of ""be"", closely followed by a positive-sentiment word",95,{SENTIMENT:neg} {LEMMA:the},"A negative-sentiment word, closely followed by a form of ""the""",92,{LEMMA:be} {POS:ADV} {SENTIMENT:pos},"A form of ""be"", closely followed by an adverb, and then by a positive-sentiment word"
sentiment,33,{LEMMA:the} {LEMMA:be} {SENTIMENT:neg},"A form of ""the"", closely followed by a form of ""be"", and then by a negative-sentiment word",100,{TYPE:station.v},A type of station (v),93,{LEMMA:the} {SENTIMENT:neg},"A form of ""the"", closely followed by a negative-sentiment word",16,{LEMMA:be} {POS:ADV} {SENTIMENT:neg},"A form of ""be"", closely followed by an adverb, and then by a negative-sentiment word",57,{LEMMA:send} {TYPE:back.r},"A form of ""send"", closely followed by a type of back (adv)",46,{TYPE:be.v} {POS:ADV} {SENTIMENT:neg},"A type of be (v), closely followed by an adverb, and then by a negative-sentiment word",80,{SENTIMENT:pos} {LEMMA:and} {POS:ADV},"A positive-sentiment word, closely followed by a form of ""and"", and then by an adverb",7,{SENTIMENT:pos} {SENTIMENT:pos},"A positive-sentiment word, closely followed by a positive-sentiment word",56,{LEMMA:would} {LEMMA:not},"A form of ""would"", closely followed by a form of ""not""",73,{POS:ADV} {LEMMA:the},"An adverb, closely followed by a form of ""the"""
sentiment,4,{SENTIMENT:neg},A negative-sentiment word,60,{LEMMA:way} {LEMMA:too},"A form of ""way"", closely followed by a form of ""too""",99,{LEMMA:the} {LEMMA:be} {POS:ADV},"A form of ""the"", closely followed by a form of ""be"", and then by an adverb",83,{POS:ADV} {LEMMA:return},"An adverb, closely followed by a form of ""return""",10,{LEMMA:not} {SENTIMENT:pos},"A form of ""not"", closely followed by a positive-sentiment word",94,{TYPE:not.r} {LEMMA:at},"A type of not (adv), closely followed by a form of ""at""",69,{LEMMA:be} {POS:ADV} {LEMMA:comfortable},"A form of ""be"", closely followed by an adverb, and then by a form of ""comfortable""",47,{LEMMA:be} {LEMMA:great},"A form of ""be"", closely followed by a form of ""great""",72,"{LEMMA:be} {LEMMA:cheap, SENTIMENT:neg}","A form of ""be"", closely followed by a form of ""cheap"" which is also bearing a negative sentiment",1,{LEMMA:return},"A form of ""return"""
sentiment,87,{SENTIMENT:pos} {LEMMA:great},"A positive-sentiment word, closely followed by a form of ""great""",75,{LEMMA:be} {POS:ADV},"A form of ""be"", closely followed by an adverb",86,{LEMMA:not} {SENTIMENT:pos} {LEMMA:the},"A form of ""not"", closely followed by a positive-sentiment word, and then by a form of ""the""",22,"{LEMMA:perfect, SENTIMENT:pos}","A form of ""perfect"" which is also bearing a positive sentiment",32,{LEMMA:good},"A form of ""good""",25,{LEMMA:disappointed},"A form of ""disappointed""",18,{LEMMA:love},"A form of ""love""",26,"{SENTIMENT:pos, POS:ADV}",An adverb which is also bearing a positive sentiment,34,"{TYPE:move.v, LEMMA:return}","A form of ""return"" which is also a type of move (v)",30,{SENTIMENT:neg} {POS:ADV},"A negative-sentiment word, closely followed by an adverb"
